title="Potential"
variables = "x","y","U(V)"
zone i=81,j=81
0.62 0.04 1.36874
0.63 0.04 1.28304
0.64 0.04 1.19899
0.65 0.04 1.11649
0.66 0.04 1.03544
0.67 0.04 0.955764
0.68 0.04 0.877354
0.69 0.04 0.800116
0.7 0.04 0.723953
0.71 0.04 0.648768
0.72 0.04 0.574464
0.73 0.04 0.500943
0.74 0.04 0.428107
0.75 0.04 0.355858
0.76 0.04 0.284099
0.77 0.04 0.212732
0.78 0.04 0.141658
0.79 0.04 0.0707801
0.8 0.04 0
0 0.05 10.1302
0.01 0.05 10.1255
0.02 0.05 10.1113
0.03 0.05 10.0876
0.04 0.05 10.0546
0.05 0.05 10.0123
0.06 0.05 9.96065
0.07 0.05 9.89989
0.08 0.05 9.83011
0.09 0.05 9.75145
0.1 0.05 9.66407
0.11 0.05 9.56819
0.12 0.05 9.46402
0.13 0.05 9.35183
0.14 0.05 9.23188
0.15 0.05 9.1045
0.16 0.05 8.97002
0.17 0.05 8.82881
0.18 0.05 8.68127
0.19 0.05 8.52782
0.2 0.05 8.36889
0.21 0.05 8.20495
0.22 0.05 8.03647
0.23 0.05 7.86395
0.24 0.05 7.68787
0.25 0.05 7.50873
0.26 0.05 7.32704
0.27 0.05 7.14328
0.28 0.05 6.95794
0.29 0.05 6.7715
0.3 0.05 6.5844
0.31 0.05 6.39709
0.32 0.05 6.20998
0.33 0.05 6.02346
0.34 0.05 5.8379
0.35 0.05 5.65363
0.36 0.05 5.47096
0.37 0.05 5.29018
0.38 0.05 5.11153
0.39 0.05 4.93525
0.4 0.05 4.76152
0.41 0.05 4.59052
0.42 0.05 4.42239
0.43 0.05 4.25724
0.44 0.05 4.09518
0.45 0.05 3.93626
0.46 0.05 3.78055
0.47 0.05 3.62808
0.48 0.05 3.47885
0.49 0.05 3.33287
0.5 0.05 3.19012
0.51 0.05 3.05056
0.52 0.05 2.91416
0.53 0.05 2.78086
0.54 0.05 2.6506
0.55 0.05 2.5233
0.56 0.05 2.39888
0.57 0.05 2.27726
0.58 0.05 2.15834
0.59 0.05 2.04203
0.6 0.05 1.92822
0.61 0.05 1.8168
0.62 0.05 1.70767
0.63 0.05 1.60072
0.64 0.05 1.49582
0.65 0.05 1.39287
0.66 0.05 1.29175
0.67 0.05 1.19233
0.68 0.05 1.0945
0.69 0.05 0.998129
0.7 0.05 0.903107
0.71 0.05 0.809309
0.72 0.05 0.716612
0.73 0.05 0.624894
0.74 0.05 0.534032
0.75 0.05 0.443905
0.76 0.05 0.35439
0.77 0.05 0.265364
0.78 0.05 0.176705
0.79 0.05 0.0882915
0.8 0.05 0
0 0.06 12.177
0.01 0.06 12.1713
0.02 0.06 12.1542
0.03 0.06 12.1258
0.04 0.06 12.086
0.05 0.06 12.035
0.06 0.06 11.9729
0.07 0.06 11.8997
0.08 0.06 11.8156
0.09 0.06 11.7208
0.1 0.06 11.6155
0.11 0.06 11.5
0.12 0.06 11.3744
0.13 0.06 11.2392
0.14 0.06 11.0945
0.15 0.06 10.9409
0.16 0.06 10.7788
0.17 0.06 10.6084
0.18 0.06 10.4305
0.19 0.06 10.2454
0.2 0.06 10.0537
0.21 0.06 9.85589
0.22 0.06 9.65266
0.23 0.06 9.44455
0.24 0.06 9.23216
0.25 0.06 9.01612
0.26 0.06 8.79701
0.27 0.06 8.57544
0.28 0.06 8.35201
0.29 0.06 8.12728
0.3 0.06 7.90181
0.31 0.06 7.67613
0.32 0.06 7.45074
0.33 0.06 7.22612
0.34 0.06 7.0027
0.35 0.06 6.7809
0.36 0.06 6.56108
0.37 0.06 6.34359
0.38 0.06 6.12872
0.39 0.06 5.91675
0.4 0.06 5.7079
0.41 0.06 5.50238
0.42 0.06 5.30036
0.43 0.06 5.10197
0.44 0.06 4.90733
0.45 0.06 4.71652
0.46 0.06 4.52959
0.47 0.06 4.34659
0.48 0.06 4.16752
0.49 0.06 3.99237
0.5 0.06 3.82114
0.51 0.06 3.65376
0.52 0.06 3.4902
0.53 0.06 3.33038
0.54 0.06 3.17422
0.55 0.06 3.02163
0.56 0.06 2.87252
